TvShowName,NormalizedName,TODO
Addam Marbrand,Addam Marbrand,
Adrack Humble,Adrack Humble,
Aeron Greyjoy,Aeron Greyjoy,
Aerys Targaryen,Aerys Targaryen,
Aggo,Aggo,
Akho,Aggo,">> could not find this one, I suggest deleting (possibly a stuntman from the show) -> fixed, it was a typo"
Alliser Thorne,Alliser Thorne,
Alton Lannister,Alton Lannister,
Alys Karstark,Alys Karstark,
Amory Lorch,Amory Lorch,
Anara,Anara,
Anguy,Anguy,
Anya Waynwood,Anya Waynwood,
Archmaester Ebrose,Ebrose,
Areo Hotah,Areo Hotah,
Armeca,Armeca,
Arthur,Arthur,
Arthur Dayne,Arthur Dayne,
Arya Stark,Arya Stark,
Ash,Ash,
Axell Florent,Axell Florent,
Aya,Aya,
Baby Jon Snow,Jon Snow,>> merge with adult version
Baby Sam,Samwell Tarly,>> merge with adult version
Balon Greyjoy,Balon Greyjoy,
Bannen,Bannen,
Baratheon General,,
Baratheon Soldier #1,,
Baratheon Soldier #2,,
Barra,Barra,
Barristan Selmy,Barristan Selmy,
Bathhouse Prostitute,,
Bear Island Maester,,
Beggar Woman,,
Belicho Paenymion,Belicho Paenymion,
Benjen Stark,Benjen Stark,
Beric Dondarrion,Beric Dondarrion,
Bernadette,Bernadette,
Bianca,Bianca,
Biter,Biter,
Black Jack Bulwer,Black Jack Bulwer,
Black Lorren,Black Lorren,
Black Walder Rivers,Walder Rivers,
Boat Commander,,
Bobono,Bobono,
Bolton General,,
Bolton Guard,,
Bolton Officer,,
Bolton Soldier,,
Bowen Marsh,Bowen Marsh,
Braavosi Captain,,
Braavosi Madam,,
Braavosi Theatre Server,,
Braavosi Theatre Sound Artist,,
Braavosi Woman #1,,
Braavosi Woman #2,,
Bran Stark,Bran Stark,
Brant,Brant,
Brea,Brea,
Brienne of Tarth,Brienne of Tarth,
Bronn,Bronn,
Brothel Child #1,,
Brothel Child #2,,
Brothel Customer,,
Brothel Guard,,
Brother Ray,Ray,
Brusco,Brusco,
Brynden Tully,Brynden Tully,
Camello,Camello,
Captain's Daughter,,
Captain of the Archers,,
Catelyn Stark,Catelyn Stark,
Catspaw Assassin,Catspaw,
Cersei Lannister,Cersei Lannister,
Chella,Chella,
Citadel Maester,,
Clarenzo,Clarenzo,
Clea,Clea,
Cley Cerwyn,Cley Cerwyn,
Colen of Greenpools,Colen of Greenpools,
Cooper,Cooper,
Craster,Craster,
Craster's Wife,,
Craster's Wife #2,,
Craster's Wife #3,,
Craster's Younger Wife,,
Craya,Craya,
Daario Naharis,Daario Naharis,
Daenerys Targaryen,Daenerys Targaryen,
Dagmer Cleftjaw,Dagmer Cleftjaw,
Daisy,Daisy,
Davos Seaworth,Davos Seaworth,
Denys Mallister,Denys Mallister,
Derek,Derek,
Desmond Crakehall,Desmond Crakehall,
Despondent Man,,
Dickon Tarly,Dickon Tarly,
Dim Dalba,Dim Dalba,
Dirah,Dirah,
Dongo the Giant,Dongo,
Donnel Hill,Donnel Hill,
Donnel Waynwood,Donnel Waynwood,
Dontos Hollard,Dontos Hollard,
Doran Martell,Doran Martell,
Doreah,Doreah,
Dornish Lord,,
Dothraki Bloodrider #1,,
Dothraki Bloodrider #2,,
Dothraki Crone,Dothraki Crones,
Dothraki Man Having Sex,,
Dothraki Widow #1,,
Dothraki Widow #2,,
Dothraki Woman Having Sex,,
Drennan,Drennan,
Drogon,Drogon,
Drowned Priest,,
Dwarf Hunter #1,,
Dwarf Hunter #2,,
Eddard Stark,Eddard Stark,
Eddison Tollett,Eddison Tollett,
Edmure Tully,Edmure Tully,
Elder Meereen Slave,,
Eldrick Sarsfield,Eldrick Sarsfield,
Eleanor,Eleanor Swann,
Eleanor's Daughter,,
Ellaria Sand,Ellaria Sand,
Euron Greyjoy,Euron Greyjoy,
Eyrie Guard,,
Faceless Man,,
Faith Militant #1,,
Faith Militant #2,,
Farlen,Farlen,
Farmer's Daughter,,
Farmer Hamlet,,
Fennesz,Fennesz,
Fergus,Fergus,
First Mate,,
Frances,Frances,
Frey Guard,,
Frey Soldier #1,,
Frey Soldier #2,,
Fruit Vendor,,
Gared,Gared,
Gatins,Gatins,
Gendry,Gendry,
Genna,Genna,
Gerold Hightower,Gerold Hightower,
Ghita,Ghita,
Ghost,Ghost,
Gilly,Gilly,
Goatherd,,
Goatherd's Son,,
Goldcloak,,
Gordy,Gordy,
Grand Maester Pycelle,Pycelle,
Great Master #1,,
Great Master #2,,
Great Master #3,,
Great Master #4,,
Great Master #5,,
Great Master #6,,
Great Master #7,,
Greatjon Umber,Jon Umber,
Gregor Clegane,Gregor Clegane,
Greizhen mo Ullhor,Greizhen mo Ullhor,
Grenn,Grenn,
Grey Wind,Grey Wind,
Grey Worm,Grey Worm,
Guymon,Guymon,
Hallyne,Hallyne,
Handmaid,,
Harald Karstark,Harald Karstark,
Harrag,Harrag,
Harry Strickland,Harry Strickland,
Henk,Henk,
High Priestess,,
High Septon,,
High Sparrow,High Sparrow,
Hizdahr zo Loraq,Hizdahr zo Loraq,
Hodor,Hodor,
Hog Farmer,,
Hoster Tully,Hoster Tully,
Hot Pie,Hot Pie,
Howland Reed,Howland Reed,
Hugh of the Vale,Hugh of the Vale,
Iggo,Iggo,
Illyrio Mopatis,Illyrio Mopatis,
Ilyn Payne,Ilyn Payne,
Inn Waitress,,
Innkeeper,,
Innkeeper's Daughter,,
Ironborn #1,,
Ironborn #2,,
Ironborn #3,,
Ironborn Abusing a Volantene Whore,,
Ironborn at Brothel,,
Ironborn in Skiff,,
Irri,Irri,
Izembaro,Izembaro,
Jacks,Jacks,
Jafer Flowers,Jafer Flowers,
Jaime Lannister,Jaime Lannister,
Janos Slynt,Janos Slynt,
Jaqen's Disguise,Jaqen H'ghar,">> merge both ""Jaqen H'ghar"""
Jaqen H'ghar,Jaqen H'ghar,">> merge both ""Jaqen H'ghar"""
Jaremy Rykker,Jaremy Rykker,
Jeor Mormont,Jeor Mormont,
Jhiqui,Jhiqui,
Joffrey Baratheon,Joffrey Baratheon,
Johnna,Johnna,
Jojen Reed,Jojen Reed,
Jon Arryn,Jon Arryn,
Jon Snow,Jon Snow,
Jonos Bracken,Jonos Bracken,
Jorah Mormont,Jorah Mormont,
Jory Cassel,Jory Cassel,
Joss,Joss,
Joyeuse Erenford,Joyeuse Erenford,
Karl Tanner,Clubfoot Karl,
Karsi,Karsi,
Kayla,Kayla,
Kegs,Kegs,
Kesh,Kesh,
Kevan Lannister,Kevan Lannister,
Khal Brozho,Brozho,
Khal Drogo,Drogo,
Khal Moro,Moro,
Khal Forzho,Forzho,
Khal Moro,Moro,
Khal Qorro,Qorro,
Khal Rhalko,Rhalko,
King's Landing Baker,,
King's Landing Boaster,,
King's Landing Drunkard,,
King's Landing Flasher #1,,
King's Landing Flasher #2,,
King's Landing Rioter #1,,
King's Landing Rioter #2,,
King's Landing Rioter #3,,
King's Landing Tailor,,
King's Landing Whore,,
King Balon Greyjoy Dwarf,,
King Joffrey Baratheon Dwarf,,
King Renly Baratheon Dwarf,,
King Robb Stark Dwarf,,
King Stannis Baratheon Dwarf,,
Kinvara,Kinvara,
Kitty Frey,Joyeuse Erenford,
Koner,Koner,
Kovarro,Kovarro,
Kraznys mo Nakloz,Kraznys mo Nakloz,
Lady,Lady,
Lady Crane,Lady Stork,
Lancel Lannister,Lancel Lannister,
Lannister Guard,,
Lannister Guard #1,,
Lannister Guard #2,,
Lannister Messenger,,
Lannister Scout,,
Lannister Soldier,,
Lead Dornish Guard,,
Lead Kingsguard,,
Leaf,Leaf,
Lem Lemoncloak,Lem,
Leo Lefford,Leo Lefford,
Lhara,Lhara,
Little Bird,,
Little Bird #3,,
Little Bird #4,,
Little Bird #5,,
Little Bird #6,,
Little Bird #7,,
Loboda,Loboda,
Locke,Locke,
Lollys Stokeworth,Lollys Stokeworth,
Lommy Greenhands,Lommy Greenhands,
Loras Tyrell,Loras Tyrell,
Lord #1,,
Lord #2,,
Lord #3,,
Lord #4,,
Lord Blackmont,,
Lord Portan,,
Lord Varys,Varys,
Lordsport Dockhand,,
Lothar Frey,Lothar Frey,
Loyal Night's Watchman #1,,
Loyal Night's Watchman #2,,
Lyanna Mormont,Lyanna Mormont,
Lyanna Stark,Lyanna Stark,
Lysa Arryn,Lysa Arryn,
Mace Tyrell,Mace Tyrell,
Maester Aemon,Aemon Targaryen (son of Maekar I),
Maester Caleotte,Caleotte,
Maester Cressen,Cressen,
Maester Luwin,Luwin,
Maester Sandhu,Sandhu,
Maester Wolkan,Wolkan,
Mag the Mighty,Mag Mar Tun Doh Weg,">> merge both ""Mag the Mighty"""
Mag the Mighty Wight,Mag Mar Tun Doh Weg,">> merge both ""Mag the Mighty"""
Maggy,Maggy the Frog,
Mago,Mago,
Malko,Malko,
Mallister Supporter,,
Man of the Nightswatch,,
Mance Rayder,Mance Rayder,
Mandon Moore,Mandon Moore,
Manservant,,
Marei,Marei,
Margaery's Handmaiden,,
Margaery Tyrell,Margaery Tyrell,
Margaery Tyrell Mummer,,
Marillion,Marillion,
Martha,Martha,
Martyn Lannister,Martyn Lannister,
Master Torturer,,
Matthos Seaworth,Matthos Seaworth,
Meera Reed,Meera Reed,
Meereenese Homeless Mother,,
Melara Hetherspoon,Melara Hetherspoon,
Melessa Tarly,Melessa Florent,
Melisandre,Melisandre,
Merchant Captain,,
Mero,Mero,
Merry Frey,Merianne Frey,
Meryn Trant,Meryn Trant,
Mhaegen,Mhaegen,
Mirelle,Mirelle,
Mirri Maz Duur,Mirri Maz Duur,
Missandei,Missandei,
Mole's Town Madam,,
Mole's Town Whore,,
Morag,Morag,
Mord,Mord,
Morgan,Morgan,
Morgan's Friend,,
Moro's Wife #1,,
Moro's Wife #2,,
Mossador,Mossador,
Mully,Mully,
Mummer #2,,
Mummer #3,,
Mummer #4,,
Musician #1,,
Musician #2,,
Musician #3,,
Musician #4,,
Musician #5,,
Mycah,Mycah,
Myranda,Myranda,
Myrcella Baratheon,Myrcella Baratheon,
Ned Umber,Ned Umber,
Newborn Bolton,,
Night's Watchman,,
Night's Watchman #1,,
Night's Watchman #2,,
Northern Guard,,
Northern Lord,,
Northman Rioter,,
Nymeria,Nymeria (direwolf),
Nymeria Sand,Nymeria Sand,
Obara Sand,Obara Sand,
Oberyn Martell,Oberyn Martell,
Old Man,,
Old Nan,Nan,
Old Woman,,
Old Woman Prisoner,,
Olenna Tyrell,Olenna Tyrell,
Olly,Olly,
Olly's Mother,,
Olyvar,Olyvar,
Orell,Orell,
Ornela,Ornela,
Orphan Kid,,
Osha,Osha,
Othell Yarwyck,Othell Yarwyck,
Othor,Othor,
Oznak zo Pahl,Oznak zo Pahl,
Petyr Baelish,Petyr Baelish,
Pit Announcer,,
Podrick Payne,Podrick Payne,
Polliver,Polliver,
Prendahl na Ghezn,Prendahl na Ghezn,
Protestor,,
Pyat Pree,Pyat Pree,
Pypar,Pypar,
Qartheen Woman,,
Qhono,Qhono,
Qhorin Halfhand,Qhorin Halfhand,
Qotho,Qotho,
Quaithe,Quaithe of the Shadow,
Quent,Quent,
Qyburn,Qyburn,
Rakharo,Rakharo,
Ralf Kenning,Ralf Kenning,
Ramsay Snow,Ramsay Snow,
Randyll Tarly,Randyll Tarly,
Rast,Rast,
Rattleshirt,Rattleshirt,
Razdal mo Eraz,Razdal mo Eraz,
Red Keep Stableboy,,
Red Priestess,,
Reginald Lannister,Reginald Lannister,
Renly Baratheon,Renly Baratheon,
Rennick,Rennick,
Rhaegal,Rhaegal,
Rhaegar Targaryen,Rhaegar Targaryen,
Rhaego,Rhaego Targaryen,
Rickard Karstark,Rickard Karstark,
Rickard Stark,Rickard Stark,
Rickon Stark,Rickon Stark,
Riddell,Riddell,
Riverlands Traveller,,
Robb Stark,Robb Stark,
Robert Baratheon,Robert I Baratheon,
Robett Glover,Robett Glover,
Robin Arryn,Robin Arryn,
Rodrik Cassel,Rodrik Cassel,
Roose Bolton,Roose Bolton,
Rorge,Rorge,
Ros,Ros,
Roslin Frey,Roslin Frey,
Royal Steward,,
Ryger Rivers,Ryger Rivers,
Sailor,,
Salladhor Saan,Salladhor Saan,
Samwell Tarly,Samwell Tarly,
Sandor Clegane,Sandor Clegane,
Sansa Stark,Sansa Stark,
Second Son,,
Sellsword #1,,
Sellsword #2,,
Selyse Baratheon,Selyse Florent,
Septa Moelle,Moelle,
Septa Mordane,Mordane,
Septa Scolera,Scolera,
Septa Unella,Unella,
Septon,,
Ser Endrew Tarth,Endrew Tarth,
Shae,Shae,
Shagga,Shagga,
Shaggydog,Shaggydog,
Shireen Baratheon,Shireen Baratheon,
Silk King,Silk King,
Simpson,Simpson,
Singing Lannister Soldier,,
Sissy,Sissy,
Slaver,,
Smalljon Umber,Jon Umber (son of Jon),
Soldier Tom,Soldier Tom,
Son of the Harpy,,
Sorcerer,,
Sparring Boy,,
Spice King,Spice King,
Stannis Baratheon,Stannis Baratheon,
Stark Messenger,,
Stark Soldier,,
Steelshanks Walton,Steelshanks Walton,
Steve,Steve,
Stevron Frey,Stevron Frey,
Stiv,Stiv,
Stone Man,,
Street Tough #1,,
Street Tough #2,,
Street Urchin,,
Strong Sam Stone,Samwell Stone,
Styr,Styr,
Summer,Summer,
Syrio Forel,Syrio Forel,
Talisa Maegyr,Talisa Stark,
Talla Tarly,Talla Tarly,
Tansy,Tansy,
Teela,Teela,
Ternesio Terys,Ternesio Terys,
The Crone,,
The Maiden,,
The Mother,,
The Mother of Dragons,Daenerys Targaryen,>> merge with proper Daenerys
The Night King,Night's King,
The Smith,,
The Stranger,,
The Tickler,The Tickler,
The Waif,Waif,">> merge with both ""Waif"""
The Waif's Disguise,Waif,">> merge with both ""Waif"""
The Warrior,,
Thenn Warg,Thenn Warg,
Theon Greyjoy,Theon Greyjoy,
Thin Man,Thin Man,
Thoros of Myr,Thoros of Myr,
Three-Eyed Raven,Brynden Rivers,
Timett,Timett,
Tobho Mott,Tobho Mott,
Todder,Todder,
Tomard,Tomard,
Tommen's Manservant,,
Tommen Baratheon,Tommen Baratheon,
Tormund Giantsbane,Tormund,
Torrhen Karstark,Torrhen Karstark,
Tortured Prisoner,,
Tortured Slave,,
Trystane Martell,Trystane Martell,
Tully Bannerman,,
Tycho Nestoris,Tycho Nestoris,
Tyene Sand,Tyene Sand,
Tyrell Guard,,
Tyrell Lady,,
Tyrell Servant,,
Tyrion Lannister,Tyrion Lannister,
Tywin Lannister,Tywin Lannister,
Unsullied,,
Unsullied Soldier,,
Vala,Vala,
Valyrian Slave,,
Vance Corbray,Vance Corbray,
Vardis Egen,Vardis Egen,
Varly,Varly,
Vayon Poole,Vayon Poole,
Village Woman,,
Violet,Violet,
Viserion,Viserion,
Viserys Targaryen,Viserys Targaryen,
Volantene Whore #1,,
Volantene Whore #2,,
Volantene Whore #3,,
Volantene Whore #4,,
Volantene Whore #5,,
Walda Bolton,Walda Frey (daughter of Merrett),
Walder Frey,Walder Frey,
Wallen,Wallen,
Warlock,,
Waymar Royce,Waymar Royce,
Wendel Manderly,Wendel Manderly,
Westerosi Trader,,
White Rat,White Rat,
White Walker,,
Whore,,
Whore #1,,
Whore #2,,
Whore #3,,
Whore #4,,
Whore #5,,
Whore #6,,
Wight Wildling Girl,,
Wildling Rioter,,
Will,Will,
Willa,Willa,
Willem Lannister,Willem Lannister,
Wine Merchant,Wine merchant,
Winter Town Man,,
Winterfell Boy,,
Winterfell Shepherd,,
Wounded Lannister Soldier,,
Wun Wun,Wun Weg Wun Dar Wun,">> Merge both ""Wun Weg Wun Dar Wun"""
Wun Wun Wight,Wun Weg Wun Dar Wun,">> Merge both ""Wun Weg Wun Dar Wun"""
Wyllis,Wyllis,
Wyman Manderly,Wyman Manderly,
Xaro Xhoan Daxos,Xaro Xhoan Daxos,
Yara Greyjoy,Yara Greyjoy,
Yezzan zo Qaggaz,Yezzan zo Qaggaz,
Ygritte,Ygritte,
Yohn Royce,Yohn Royce,
Yoren,Yoren,
Young Benjen Stark,Benjen Stark,>> merge with adult version
Young Braavosi,,
Young Cersei Lannister,Cersei Lannister,>> merge with adult version
Young Lyanna Stark,Lyanna Stark,>> merge with adult version
Young Nan,Nan,>> merge with adult version
Young Ned Stark,Eddard Stark,>> merge with adult version
Young Rodrik Cassel,Rodrik Cassel,>> merge with adult version
Yunkai'i Whore,,
Zanrush,Zanrush,
